single_encoder,division,group,class,subclass
RDF1061106,Natural sciences,Biological sciences,"Neurosciences, biological and chemical aspects",Behavioural neuroscience of reward and motivation
RDF1061107,Natural sciences,Biological sciences,"Neurosciences, biological and chemical aspects",Neurocognitive patterns and neural networks
RDF1061108,Natural sciences,Biological sciences,"Neurosciences, biological and chemical aspects",Neurophysiology
RDF1061199,Natural sciences,Biological sciences,"Neurosciences, biological and chemical aspects","Neurosciences, biological and chemical aspects, n.e.c"
RDF10699,Natural sciences,Biological sciences,Other biological sciences,
RDF1069999,Natural sciences,Biological sciences,Other biological sciences,Other biological sciences
RDF107,Natural sciences,Other natural sciences,,
RDF10799,Natural sciences,Other natural sciences,Other natural sciences,
RDF1079999,Natural sciences,Other natural sciences,Other natural sciences,"Other natural sciences, n.e.c."
RDF20-21,Engineering and technology,,,
RDF201,Engineering and technology,"Civil engineering, maritime engineering, transport engineering, and mining engineering",,
RDF20101,Engineering and technology,"Civil engineering, maritime engineering, transport engineering, and mining engineering",Civil engineering,
RDF2010101,Engineering and technology,"Civil engineering, maritime engineering, transport engineering, and mining engineering",Civil engineering,Geotechnical engineering
RDF2010102,Engineering and technology,"Civil engineering, maritime engineering, transport engineering, and mining engineering",Civil engineering,Building construction engineering
RDF2010103,Engineering and technology,"Civil engineering, maritime engineering, transport engineering, and mining engineering",Civil engineering,"Concrete, cementitious materials and other architectural and construction materials"
RDF2010104,Engineering and technology,"Civil engineering, maritime engineering, transport engineering, and mining engineering",Civil engineering,Earthquake engineering
RDF2010105,Engineering and technology,"Civil engineering, maritime engineering, transport engineering, and mining engineering",Civil engineering,Infrastructure engineering
RDF2010106,Engineering and technology,"Civil engineering, maritime engineering, transport engineering, and mining engineering",Civil engineering,Structural engineering
RDF2010107,Engineering and technology,"Civil engineering, maritime engineering, transport engineering, and mining engineering",Civil engineering,Water resources infrastructure engineering
RDF2010108,Engineering and technology,"Civil engineering, maritime engineering, transport engineering, and mining engineering",Civil engineering,Hydraulic engineering
RDF2010109,Engineering and technology,"Civil engineering, maritime engineering, transport engineering, and mining engineering",Civil engineering,Geomechanics
RDF2010199,Engineering and technology,"Civil engineering, maritime engineering, transport engineering, and mining engineering",Civil engineering,"Civil engineering, n.e.c."
RDF20102,Engineering and technology,"Civil engineering, maritime engineering, transport engineering, and mining engineering",Marine engineering,
RDF2010201,Engineering and technology,"Civil engineering, maritime engineering, transport engineering, and mining engineering",Marine engineering,Naval architecture
RDF2010202,Engineering and technology,"Civil engineering, maritime engineering, transport engineering, and mining engineering",Marine engineering,Ocean engineering
RDF2010203,Engineering and technology,"Civil engineering, maritime engineering, transport engineering, and mining engineering",Marine engineering,Ship hydrodynamics
RDF2010204,Engineering and technology,"Civil engineering, maritime engineering, transport engineering, and mining engineering",Marine engineering,Marine platform hydrodynamics engineering
RDF2010205,Engineering and technology,"Civil engineering, maritime engineering, transport engineering, and mining engineering",Marine engineering,Offshore engineering (including marine platform structures)
RDF2010206,Engineering and technology,"Civil engineering, maritime engineering, transport engineering, and mining engineering",Marine engineering,Special marine vehicles engineering
RDF2010299,Engineering and technology,"Civil engineering, maritime engineering, transport engineering, and mining engineering",Marine engineering,"Marine engineering, n.e.c."
RDF20103,Engineering and technology,"Civil engineering, maritime engineering, transport engineering, and mining engineering",Land transportation systems engineering,
RDF2010301,Engineering and technology,"Civil engineering, maritime engineering, transport engineering, and mining engineering",Land transportation systems engineering,Traffic and highway engineering
RDF2010302,Engineering and technology,"Civil engineering, maritime engineering, transport engineering, and mining engineering",Land transportation systems engineering,Railway and airport engineering
RDF2010303,Engineering and technology,"Civil engineering, maritime engineering, transport engineering, and mining engineering",Land transportation systems engineering,Public transportation engineering
RDF2010304,Engineering and technology,"Civil engineering, maritime engineering, transport engineering, and mining engineering",Land transportation systems engineering,Road safety engineering
RDF2010305,Engineering and technology,"Civil engineering, maritime engineering, transport engineering, and mining engineering",Land transportation systems engineering,Transportation demand modelling
RDF2010306,Engineering and technology,"Civil engineering, maritime engineering, transport engineering, and mining engineering",Land transportation systems engineering,Pavement materials and structure
RDF2010307,Engineering and technology,"Civil engineering, maritime engineering, transport engineering, and mining engineering",Land transportation systems engineering,Transportation systems infrastructure engineering for autonomous vehicles
RDF2010399,Engineering and technology,"Civil engineering, maritime engineering, transport engineering, and mining engineering",Land transportation systems engineering,"Land transportation systems engineering, n.e.c."
RDF20104,Engineering and technology,"Civil engineering, maritime engineering, transport engineering, and mining engineering",Mining engineering,
RDF2010499,Engineering and technology,"Civil engineering, maritime engineering, transport engineering, and mining engineering",Mining engineering,Mining engineering
RDF202,Engineering and technology,"Industrial, systems and processes engineering",,
RDF20201,Engineering and technology,"Industrial, systems and processes engineering",Human factor engineering,
RDF2020101,Engineering and technology,"Industrial, systems and processes engineering",Human factor engineering,Brain-computer interface
RDF2020102,Engineering and technology,"Industrial, systems and processes engineering",Human factor engineering,"Physical, environmental and cognitive ergonomics"
RDF2020103,Engineering and technology,"Industrial, systems and processes engineering",Human factor engineering,Control design
RDF2020104,Engineering and technology,"Industrial, systems and processes engineering",Human factor engineering,Human-computer systems and interface
RDF2020105,Engineering and technology,"Industrial, systems and processes engineering",Human factor engineering,Assistive technologies
RDF2020199,Engineering and technology,"Industrial, systems and processes engineering",Human factor engineering,"Human factor engineering, n.e.c."
RDF20202,Engineering and technology,"Industrial, systems and processes engineering",Systems engineering,
RDF2020201,Engineering and technology,"Industrial, systems and processes engineering",Systems engineering,Design and analysis of systems
RDF2020202,Engineering and technology,"Industrial, systems and processes engineering",Systems engineering,Modelling and applications of systems
RDF2020203,Engineering and technology,"Industrial, systems and processes engineering",Systems engineering,Intelligent renewable energy systems
RDF2020204,Engineering and technology,"Industrial, systems and processes engineering",Systems engineering,Intelligent transport systems
RDF2020205,Engineering and technology,"Industrial, systems and processes engineering",Systems engineering,Production systems engineering
RDF2020299,Engineering and technology,"Industrial, systems and processes engineering",Systems engineering,"Systems engineering, n.e.c."
RDF20203,Engineering and technology,"Industrial, systems and processes engineering",Operational research,
RDF2020301,Engineering and technology,"Industrial, systems and processes engineering",Operational research,Programming in operational research (including linear and nonlinear programming)
RDF2020302,Engineering and technology,"Industrial, systems and processes engineering",Operational research,Combinatorial and network optimization (including programming and metaheuristics)
RDF2020303,Engineering and technology,"Industrial, systems and processes engineering",Operational research,Optimization under uncertainty (including stochastic and robust optimization)
RDF2020304,Engineering and technology,"Industrial, systems and processes engineering",Operational research,Bilevel optimization and game theory
RDF2020305,Engineering and technology,"Industrial, systems and processes engineering",Operational research,Stochastic models (including queueing and simulation)
RDF2020306,Engineering and technology,"Industrial, systems and processes engineering",Operational research,Decisions and risk analysis
RDF2020307,Engineering and technology,"Industrial, systems and processes engineering",Operational research,Quality systems engineering
RDF2020399,Engineering and technology,"Industrial, systems and processes engineering",Operational research,"Operational research, n.e.c."
RDF20204,Engineering and technology,"Industrial, systems and processes engineering",Biosystems and agricultural engineering,
RDF2020401,Engineering and technology,"Industrial, systems and processes engineering",Biosystems and agricultural engineering,Irrigation
RDF2020402,Engineering and technology,"Industrial, systems and processes engineering",Biosystems and agricultural engineering,Agricultural power machinery
RDF2020403,Engineering and technology,"Industrial, systems and processes engineering",Biosystems and agricultural engineering,Crop management technologies
RDF2020404,Engineering and technology,"Industrial, systems and processes engineering",Biosystems and agricultural engineering,Pesticides and pesticides applications
RDF2020499,Engineering and technology,"Industrial, systems and processes engineering",Biosystems and agricultural engineering,"Biosystems and agricultural engineering, n.e.c."
RDF20299,Engineering and technology,"Industrial, systems and processes engineering","Other industrial, systems and processes engineering",
RDF2029999,Engineering and technology,"Industrial, systems and processes engineering","Other industrial, systems and processes engineering","Other industrial, systems and processes engineering"
RDF203,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",,
RDF20301,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Computer engineering,
RDF2030101,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Computer engineering,Systems software
RDF2030102,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Computer engineering,Computational languages (including domain-specific languages)
RDF2030103,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Computer engineering,Middleware systems
RDF2030104,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Computer engineering,Computer systems engineering
RDF2030105,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Computer engineering,Computer architecture
RDF2030106,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Computer engineering,Computer memory systems and storage
RDF2030107,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Computer engineering,Digital hardware and technologies
RDF2030108,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Computer engineering,Computer configurable hardware
RDF2030109,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Computer engineering,Computer-aided design
RDF2030110,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Computer engineering,Hardware and software for computer security
RDF2030111,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Computer engineering,Machine learning systems
RDF2030199,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Computer engineering,"Computer engineering, n.e.c."
RDF20302,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Communications and networks technologies,
RDF2030201,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Communications and networks technologies,Wireless communication systems
RDF2030202,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Communications and networks technologies,Coding and information theory applied to communications and networks technologies
RDF2030203,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Communications and networks technologies,Digital communications
RDF2030204,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Communications and networks technologies,Internet of Things
RDF2030205,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Communications and networks technologies,Software-defined network (SDN)
RDF2030206,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Communications and networks technologies,Cloud computing systems
RDF2030207,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Communications and networks technologies,Service network management systems
RDF2030208,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Communications and networks technologies,Network protocols and architectures
RDF2030209,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Communications and networks technologies,Network science and engineering
RDF2030210,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Communications and networks technologies,Spectrum sharing and management
RDF2030211,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Communications and networks technologies,Multimedia communication and networking
RDF2030212,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Communications and networks technologies,Cyber-physical systems
RDF2030213,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Communications and networks technologies,Cybersecurity and privacy technologies
RDF2030214,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Communications and networks technologies,Fibre-optic communications technologies
RDF2030215,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Communications and networks technologies,Optical networks
RDF2030216,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Communications and networks technologies,Communications and network control systems
RDF2030217,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Communications and networks technologies,Networked robotics and automation
RDF2030299,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Communications and networks technologies,"Communications and networks technologies, n.e.c."
RDF20303,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Data analytics and signal processing,
RDF2030301,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Data analytics and signal processing,Learning and adaptive systems
RDF2030302,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Data analytics and signal processing,Artificial intelligence engineering
RDF2030303,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Data analytics and signal processing,Optimization and data analytics algorithms and systems
RDF2030304,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Data analytics and signal processing,Distributed computation and signal processing
RDF2030305,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Data analytics and signal processing,Image and video processing and analysis
RDF2030306,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Data analytics and signal processing,Acoustic signal processing
RDF2030307,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Data analytics and signal processing,Computer vision in data analytics and signal processing
RDF2030308,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Data analytics and signal processing,Cognition and cognitive dynamic systems
RDF2030309,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Data analytics and signal processing,Bio-signal processing and analysis
RDF2030310,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Data analytics and signal processing,Signal processing for security and privacy
RDF2030311,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Data analytics and signal processing,Radar and sonar signal processing
RDF2030312,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Data analytics and signal processing,Remote sensing of signal processing
RDF2030313,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Data analytics and signal processing,Signal processing modelling and simulation systems
RDF2030314,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Data analytics and signal processing,Signal processing theory
RDF2030399,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Data analytics and signal processing,"Data analytics and signal processing, n.e.c."
RDF20304,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Electrical energy systems,
RDF2030401,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Electrical energy systems,Power dynamics and control systems
RDF2030402,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Electrical energy systems,Power electronics
RDF2030403,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Electrical energy systems,Renewable energy systems (except smart systems engineering)
RDF2030404,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Electrical energy systems,Power quality
RDF2030405,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Electrical energy systems,Energy storage
RDF2030406,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Electrical energy systems,Smart power grids
RDF2030407,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Electrical energy systems,Power system operation
RDF2030408,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Electrical energy systems,Power system protection
RDF2030409,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Electrical energy systems,Electric machines and drive systems
RDF2030410,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Electrical energy systems,High-Voltage DC (HVDC) systems
RDF2030411,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Electrical energy systems,Power distribution systems
RDF2030499,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Electrical energy systems,"Electrical energy systems, n.e.c."
RDF20305,Engineering and technology,"Electrical engineering, computer engineering, and information engineering","Electromagnetics, photonics and optics",
RDF2030501,Engineering and technology,"Electrical engineering, computer engineering, and information engineering","Electromagnetics, photonics and optics",Electricity and magnetism theory
RDF2030502,Engineering and technology,"Electrical engineering, computer engineering, and information engineering","Electromagnetics, photonics and optics",Applied electromagnetics
RDF2030503,Engineering and technology,"Electrical engineering, computer engineering, and information engineering","Electromagnetics, photonics and optics",Numerical methods in electromagnetics
RDF2030504,Engineering and technology,"Electrical engineering, computer engineering, and information engineering","Electromagnetics, photonics and optics",Microwave theory and techniques
RDF2030505,Engineering and technology,"Electrical engineering, computer engineering, and information engineering","Electromagnetics, photonics and optics",Instruments and circuits for RF microwave and millimeter wave
RDF2030506,Engineering and technology,"Electrical engineering, computer engineering, and information engineering","Electromagnetics, photonics and optics",Terahertz studies
RDF2030507,Engineering and technology,"Electrical engineering, computer engineering, and information engineering","Electromagnetics, photonics and optics",Antennas and propagation
RDF2030508,Engineering and technology,"Electrical engineering, computer engineering, and information engineering","Electromagnetics, photonics and optics",Radar theory and applications
RDF2030509,Engineering and technology,"Electrical engineering, computer engineering, and information engineering","Electromagnetics, photonics and optics",Metamaterials and metasurfaces sciences
RDF2030510,Engineering and technology,"Electrical engineering, computer engineering, and information engineering","Electromagnetics, photonics and optics",Photonics and electro-optical engineering
RDF2030511,Engineering and technology,"Electrical engineering, computer engineering, and information engineering","Electromagnetics, photonics and optics",Optoelectronics
RDF2030512,Engineering and technology,"Electrical engineering, computer engineering, and information engineering","Electromagnetics, photonics and optics",Integrated optics
RDF2030513,Engineering and technology,"Electrical engineering, computer engineering, and information engineering","Electromagnetics, photonics and optics",Applied optics
RDF2030514,Engineering and technology,"Electrical engineering, computer engineering, and information engineering","Electromagnetics, photonics and optics",Optical spectroscopy
RDF2030515,Engineering and technology,"Electrical engineering, computer engineering, and information engineering","Electromagnetics, photonics and optics",Semiconductor devices
RDF2030516,Engineering and technology,"Electrical engineering, computer engineering, and information engineering","Electromagnetics, photonics and optics",Optical instrumentation (including sensing and metrology)
RDF2030517,Engineering and technology,"Electrical engineering, computer engineering, and information engineering","Electromagnetics, photonics and optics",Optical signal processing
RDF2030518,Engineering and technology,"Electrical engineering, computer engineering, and information engineering","Electromagnetics, photonics and optics",Quantum photonics
RDF2030519,Engineering and technology,"Electrical engineering, computer engineering, and information engineering","Electromagnetics, photonics and optics",Optical and data communications
RDF2030520,Engineering and technology,"Electrical engineering, computer engineering, and information engineering","Electromagnetics, photonics and optics",Fiber optics
RDF2030521,Engineering and technology,"Electrical engineering, computer engineering, and information engineering","Electromagnetics, photonics and optics",Nonlinear optics
RDF2030522,Engineering and technology,"Electrical engineering, computer engineering, and information engineering","Electromagnetics, photonics and optics",Ultrafast optics
RDF2030599,Engineering and technology,"Electrical engineering, computer engineering, and information engineering","Electromagnetics, photonics and optics","Electromagnetics, photonics and optics, n.e.c."
RDF20306,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Electronics,
RDF2030601,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Electronics,Electrical circuits
RDF2030602,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Electronics,Microelectronic devices
RDF2030603,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Electronics,Circuits and systems
RDF2030604,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Electronics,Mixed-signal integrated circuits
RDF2030605,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Electronics,Very large-scale integrated circuits
RDF2030606,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Electronics,Modeling techniques in electronics
RDF2030607,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Electronics,Microelectronics and integrated circuits
RDF2030608,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Electronics,Industrial electronics
RDF2030609,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Electronics,Microfabrication techniques in electronics
RDF2030610,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Electronics,Thin films
RDF2030611,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Electronics,Lab-on-a-chip (LOC) technologies
RDF2030612,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Electronics,Microelectrical mechanical systems and microsystems design
RDF2030613,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Electronics,Quantum electronics
RDF2030614,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Electronics,Biomedical electronics
RDF2030615,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Electronics,Sensory electronics
RDF2030616,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Electronics,Power semiconductor devices and packaging
RDF2030617,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Electronics,Semiconductor and atomic-scale electronic devices
RDF2030618,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Electronics,Semiconductor and superconducting qubits
RDF2030619,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Electronics,Power management integrated circuits
RDF2030620,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Electronics,Analog and mixed-signal VLSI computing
RDF2030621,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Electronics,Machine learning accelerators
RDF2030622,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Electronics,Electro-optic integrated circuits
RDF2030623,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Electronics,"Radio, radar, and mm-wave sensor integrated circuits"
RDF2030624,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Electronics,Cryogenic control electronics for quantum processors
RDF2030699,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Electronics,"Electronics, n.e.c."
RDF20307,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Systems control and automation,
RDF2030701,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Systems control and automation,Nonlinear and hybrid control systems
RDF2030702,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Systems control and automation,Game theory and optimal control
RDF2030703,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Systems control and automation,Discrete-event systems
RDF2030704,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Systems control and automation,Systems biology and control
RDF2030705,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Systems control and automation,Control with complex specifications
RDF2030706,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Systems control and automation,Motion control of robots
RDF2030707,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Systems control and automation,Distributed control and estimation
RDF2030708,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Systems control and automation,Networked control systems
RDF2030709,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Systems control and automation,"Data-driven estimation, optimization, and control"
RDF2030710,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Systems control and automation,Fault-tolerant control
RDF2030799,Engineering and technology,"Electrical engineering, computer engineering, and information engineering",Systems control and automation,"Systems controls and automation, n.e.c."
RDF204,Engineering and technology,Mechanical engineering,,
RDF20401,Engineering and technology,Mechanical engineering,Aerospace engineering,
RDF2040101,Engineering and technology,Mechanical engineering,Aerospace engineering,Aerodynamics (except hypersonic aerodynamics)
RDF2040102,Engineering and technology,Mechanical engineering,Aerospace engineering,Aerospace materials
RDF2040103,Engineering and technology,Mechanical engineering,Aerospace engineering,Aerospace structures
RDF2040104,Engineering and technology,Mechanical engineering,Aerospace engineering,Aircraft performance and flight control systems
RDF2040105,Engineering and technology,Mechanical engineering,Aerospace engineering,Avionics
RDF2040106,Engineering and technology,Mechanical engineering,Aerospace engineering,Flight dynamics
RDF2040107,Engineering and technology,Mechanical engineering,Aerospace engineering,Hypersonic propulsion and hypersonic aerodynamics
RDF2040108,Engineering and technology,Mechanical engineering,Aerospace engineering,"Satellites, space vehicles and missiles design and testing"
RDF2040109,Engineering and technology,Mechanical engineering,Aerospace engineering,Aerospace systems design
RDF2040199,Engineering and technology,Mechanical engineering,Aerospace engineering,"Aerospace engineering, n.e.c."
RDF20402,Engineering and technology,Mechanical engineering,Automotive engineering,
RDF2040201,Engineering and technology,Mechanical engineering,Automotive engineering,Automotive combustion and fuel engineering (including alternative and renewable fuels)
RDF2040202,Engineering and technology,Mechanical engineering,Automotive engineering,Automotive engineering materials
RDF2040203,Engineering and technology,Mechanical engineering,Automotive engineering,Automotive mechatronics
RDF2040204,Engineering and technology,Mechanical engineering,Automotive engineering,Automotive safety engineering
RDF2040205,Engineering and technology,Mechanical engineering,Automotive engineering,Hybrid vehicles and powertrains
RDF2040206,Engineering and technology,Mechanical engineering,Automotive engineering,Autonomous vehicles (except systems infrastructures)
RDF2040299,Engineering and technology,Mechanical engineering,Automotive engineering,"Automotive engineering, n.e.c."
RDF20403,Engineering and technology,Mechanical engineering,Manufacturing engineering,
RDF2040301,Engineering and technology,Mechanical engineering,Manufacturing engineering,Computer-aided design (CAD) and computer-aided manufacturing (CAM) systems
RDF2040302,Engineering and technology,Mechanical engineering,Manufacturing engineering,Flexible manufacturing systems
RDF2040303,Engineering and technology,Mechanical engineering,Manufacturing engineering,Machine tools
RDF2040304,Engineering and technology,Mechanical engineering,Manufacturing engineering,Machining
RDF2040305,Engineering and technology,Mechanical engineering,Manufacturing engineering,Manufacturing management
RDF2040306,Engineering and technology,Mechanical engineering,Manufacturing engineering,Manufacturing processes and technologies (except textiles)
RDF2040307,Engineering and technology,Mechanical engineering,Manufacturing engineering,Mechatronics (except automotive mechatronics)
RDF2040308,Engineering and technology,Mechanical engineering,Manufacturing engineering,Manufacturing safety and quality
RDF2040309,Engineering and technology,Mechanical engineering,Manufacturing engineering,Microtechnology
RDF2040310,Engineering and technology,Mechanical engineering,Manufacturing engineering,"Packaging, storage and transportation (except food and agricultural products)"
RDF2040311,Engineering and technology,Mechanical engineering,Manufacturing engineering,Precision engineering
RDF2040312,Engineering and technology,Mechanical engineering,Manufacturing engineering,Textile manufacturing processes and technologies
RDF2040313,Engineering and technology,Mechanical engineering,Manufacturing engineering,Industrial design in manufacturing engineering
RDF2040399,Engineering and technology,Mechanical engineering,Manufacturing engineering,"Manufacturing engineering, n.e.c."
RDF20499,Engineering and technology,Mechanical engineering,Other mechanical engineering,
RDF2049901,Engineering and technology,Mechanical engineering,Other mechanical engineering,Acoustics and noise control (except architectural acoustics)
RDF2049902,Engineering and technology,Mechanical engineering,Other mechanical engineering,Automation and control engineering
RDF2049903,Engineering and technology,Mechanical engineering,Other mechanical engineering,"Dynamics, vibration and vibration control"
RDF2049904,Engineering and technology,Mechanical engineering,Other mechanical engineering,Microelectromechanical systems (MEMS)
RDF2049905,Engineering and technology,Mechanical engineering,Other mechanical engineering,Numerical modelling and mechanical characterisation
RDF2049906,Engineering and technology,Mechanical engineering,Other mechanical engineering,Solid mechanics
RDF2049907,Engineering and technology,Mechanical engineering,Other mechanical engineering,Tribology
RDF2049908,Engineering and technology,Mechanical engineering,Other mechanical engineering,Fluidization and fluid mechanics
RDF2049909,Engineering and technology,Mechanical engineering,Other mechanical engineering,Heat and mass transfer operations
RDF2049910,Engineering and technology,Mechanical engineering,Other mechanical engineering,Fluid-structure interaction
RDF2049911,Engineering and technology,Mechanical engineering,Other mechanical engineering,"Mechanical characterization (including modeling, testing, and monitoring)"
RDF2049999,Engineering and technology,Mechanical engineering,Other mechanical engineering,"Other mechanical engineering, n.e.c."
RDF205,Engineering and technology,Chemical engineering,,
RDF20501,Engineering and technology,Chemical engineering,Chemical engineering,
RDF2050101,Engineering and technology,Chemical engineering,Chemical engineering,Carbon capture engineering
RDF2050102,Engineering and technology,Chemical engineering,Chemical engineering,Catalytic process engineering
RDF2050103,Engineering and technology,Chemical engineering,Chemical engineering,Chemical engineering design
RDF2050104,Engineering and technology,Chemical engineering,Chemical engineering,Membrane and other separation technologies
RDF2050105,Engineering and technology,Chemical engineering,Chemical engineering,Non-automotive combustion engineering (including alternative and renewable fuels)
RDF2050106,Engineering and technology,Chemical engineering,Chemical engineering,Fuel engineering (including renewable)
RDF2050107,Engineering and technology,Chemical engineering,Chemical engineering,Powder and particle technology
RDF2050108,Engineering and technology,Chemical engineering,Chemical engineering,Process control and simulation in chemical engineering
RDF2050109,Engineering and technology,Chemical engineering,Chemical engineering,Rheology
RDF2050110,Engineering and technology,Chemical engineering,Chemical engineering,Petroleum and reservoir engineering
RDF2050111,Engineering and technology,Chemical engineering,Chemical engineering,Biochemical engineering
RDF2050112,Engineering and technology,Chemical engineering,Chemical engineering,Reaction fundamentals and reactor design
RDF2050199,Engineering and technology,Chemical engineering,Chemical engineering,"Chemical engineering, n.e.c."
RDF206,Engineering and technology,Materials engineering and resources engineering,,
RDF20601,Engineering and technology,Materials engineering and resources engineering,Materials engineering,
RDF2060101,Engineering and technology,Materials engineering and resources engineering,Materials engineering,Ceramics engineering
RDF2060102,Engineering and technology,Materials engineering and resources engineering,Materials engineering,Composite and hybrid materials
RDF2060103,Engineering and technology,Materials engineering and resources engineering,Materials engineering,Compound semiconductors
RDF2060104,Engineering and technology,Materials engineering and resources engineering,Materials engineering,Elemental semiconductors
RDF2060105,Engineering and technology,Materials engineering and resources engineering,Materials engineering,Functional materials in materials engineering sciences
RDF2060106,Engineering and technology,Materials engineering and resources engineering,Materials engineering,Glass engineering
