ProjectID;ProjectComitteeE;ProjectTitle;Agency;FiscalYear;CompetitionYear;ProgramID;Program;ProgramType;ProgramF;ProgramTypeF;PrincipalInvestigator;InterUnivColl;NofOrganization;OrganizationID;Affiliation;Organization;OrganizationGroup;OrganizationGroupF;Province;FProvince;Payment;InterUnivCollF;NofCollaborators;ID_Projet;Code_Comite;Code_Agence;Comite;FComite
CIHR87081;Biochemistry & Molecular Biology - B;Regulation of RAS driven cellular proliferation by SHOC2 and the MRAS GTPase;CIHR;2023-2024;2023;1855;Project Grant;Grant Awards;Subvention Projet;Subventions;Smith, Matthew J;Internal collaboration;0;103682;Université de Montréal;Institute for Research in Immun & Cancer/CECR in Therapeutics Discovery;Universities;Universités;Quebec;Québec;117045;Internal collaboration;1;CIHR11814;CSA;CIHR;Cardiovascular System - A: Cells and Tissues;Déterminants psychosociaux, socioculturels et comportementaux de la santé - B
CIHR75474;Biological and Clinical Aspects of Aging;Clearance of senescent cells to improve immune functions in aged mice;CIHR;2021-2022;2019;1855;Project Grant;Grant Awards;Subvention Projet;Subventions;BEAUSEJOUR, Christian;Internal collaboration;0;2225;Université de Montréal;Hôpital Sainte-Justine;Universities;Universités;Quebec;Québec;179010;Internal collaboration;1;CIHR11957;POP;CIHR;Public, Community & Population Health - A;Neurosciences moléculaires et cellulaires - B
CIHR73905;Biological and Clinical Aspects of Aging;Elimination of senescent endothelial cells to prevent vascular dementia in aging atherosclerotic mice;CIHR;2020-2021;2019;1855;Project Grant;Grant Awards;Subvention Projet;Subventions;THORIN, Eric;Internal collaboration;0;2226;Université de Montréal;Institut de cardiologie de Montréal;Universities;Universités;Quebec;Québec;165721;Internal collaboration;2;CIHR12409;HSA;CIHR;Health Research Salary A;Génétique
CIHR77399;Biological and Clinical Aspects of Aging;The impact of amyloid-induced neurodegeneration on sleep features and memory processes;CIHR;2023-2024;2020;1855;Project Grant;Grant Awards;Subvention Projet;Subventions;BROUILLETTE, Jonathan;Internal collaboration;0;2224;Université de Montréal;Hôpital du Sacré-Coeur de Montréal;Universities;Universités;Quebec;Québec;123930;Internal collaboration;1;CIHR11406;HSB;CIHR;Health Research Salary B;Cas spéciaux
CIHR83327;Biological Systems and Functions;A new adaptive-neuroprosthetic treatment to shape post-stroke plasticity and facilitate motor recovery;CIHR;2022-2023;2022;1855;Project Grant;Grant Awards;Subvention Projet;Subventions;DANCAUSE, Numa;Internal collaboration;0;63;Université de Montréal;Université de Montréal;Universities;Universités;Quebec;Québec;247191;Internal collaboration;2;CIHR13188;G;CIHR;Genetics;Sciences du comportement - A: Fondements neurobiologiques des processus comportementaux
CIHR83178;Biological Systems and Functions;The role of the TGFB-SOX9 signaling pathway in brain angiogenesis;CIHR;2022-2023;2022;1855;Project Grant;Grant Awards;Subvention Projet;Subventions;Dubrac, Alexandre;Without Collaborator;0;2225;Université de Montréal;Hôpital Sainte-Justine;Universities;Universités;Quebec;Québec;227205;Without Collaborator;0;CIHR11523;IT;CIHR;Immunology and Transplantation;Endocrinologie
CIHR75555;Biomedical Engineering;Predicting the Progression and Brace Treatment Response in Spinal Deformities with Temporal-based Machine Learning Approaches;CIHR;2023-2024;2019;1855;Project Grant;Grant Awards;Subvention Projet;Subventions;PARENT, Stefan;Internal collaboration;0;2225;Université de Montréal;Hôpital Sainte-Justine;Universities;Universités;Quebec;Québec;172890;Internal collaboration;6;CIHR13695;CA;CIHR;Cancer - A;Sciences du comportement - A
CIHR75829;Canadian 2019 Novel Coronavirus (2019-nCoV) Rapid Research;A multi-country comparison of COVID-19 response: Planning, implementation, and health system resilience;CIHR;2020-2021;2020;1721;Operating Grant: COVID-19 - Public health response and its impact;Grant Awards;Subv. de fonct. : COVID-19 - Interventions en santé publique/leurs répercussions;Subventions;ZINSZER, Kate A;Internal collaboration;0;63;Université de Montréal;Université de Montréal;Universities;Universités;Quebec;Québec;499244;Internal collaboration;14;CIHR12446;CSC;CIHR;Cardiovascular System - C;Bourses de recherche au doctorat - A
CIHR75802;Canadian 2019 Novel Coronavirus (2019-nCoV) Rapid Research;La cohésion sociale est-elle possible en situation de crises multiples? L'influence des politiques publiques entourant le coronavirus (2019-nCoV) et les préjugés envers les citoyens et citoyennes d'origine chinoise;CIHR;2020-2021;2020;1720;Operating Grant: COVID-19 - Social dynamics  communication and trust;Grant Awards;Subv. de fonct. : COVID-19 - Dynamique sociale  communication et confiance;Subventions;de la Sablonniere, Roxane;Internal collaboration;0;63;Université de Montréal;Université de Montréal;Universities;Universités;Quebec;Québec;351270;Internal collaboration;3;CIHR12254;***;CIHR;Special Cases;Métabolisme
CIHR85219;Cancer Biology & Therapeutics;Immunoproteasome-expressing mesenchymal stromal cells: a new tool for cancer vaccination;CIHR;2023-2024;2022;1855;Project Grant;Grant Awards;Subvention Projet;Subventions;RAFEI, Moutih;Without Collaborator;0;63;Université de Montréal;Université de Montréal;Universities;Universités;Quebec;Québec;191250;Without Collaborator;0;CIHR11160;DRA;CIHR;Doctoral Research Awards - A;Sciences du comportement - C
