division,group,class,subclass,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10203 Programming languages and software engineering,RDF1020302 Computation models,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10203 Programming languages and software engineering,"RDF1020303 Software domains (including operating systems and software infrastructure)",,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10203 Programming languages and software engineering,RDF1020304 Programming languages,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10203 Programming languages and software engineering,RDF1020305 Software system models,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10203 Programming languages and software engineering,RDF1020306 Distributed systems organizing principles,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10203 Programming languages and software engineering,RDF1020307 Real-time software and ultra-large systems,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10203 Programming languages and software engineering,RDF1020308 Extra-functional properties,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10203 Programming languages and software engineering,RDF1020309 Compilers,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10203 Programming languages and software engineering,RDF1020310 Operating systems,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10203 Programming languages and software engineering,RDF1020311 Software function properties,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10203 Programming languages and software engineering,RDF1020312 Distributed algorithms,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10203 Programming languages and software engineering,RDF1020313 Adaptive software engineering,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10203 Programming languages and software engineering,"RDF1020399 Programming language and software engineering, n.e.c.",,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10204 Computing systems,,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10204 Computing systems,RDF1020401 Distributed systems,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10204 Computing systems,RDF1020402 Networking and communications,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10204 Computing systems,RDF1020403 Parallel systems,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10204 Computing systems,RDF1020404 Quantum computing,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10204 Computing systems,"RDF1020499 Computing systems, n.e.c.",,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10205 Human-centered computing,,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10205 Human-centered computing,RDF1020501 Human computer interaction,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10205 Human-centered computing,RDF1020502 Interaction design for human-centered computing,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10205 Human-centered computing,RDF1020503 User-adaptive and personalized systems,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10205 Human-centered computing,RDF1020504 Collaborative and social computing,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10205 Human-centered computing,RDF1020505 Ubiquitous and mobile computing,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10205 Human-centered computing,RDF1020506 Accessibility in human-centered computing,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10205 Human-centered computing,RDF1020507 Computer graphics,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10205 Human-centered computing,RDF1020508 Data visualization,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10205 Human-centered computing,"RDF1020509 Virtual and augmented reality, and related simulations",,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10205 Human-centered computing,"RDF1020599 Human-centered computing, n.e.c.",,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10206 Information Systems,,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10206 Information Systems,RDF1020601 Information system security,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10206 Information Systems,RDF1020602 Modelling and simulation in information systems,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10206 Information Systems,"RDF1020603 Web technologies (except Web search)",,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10206 Information Systems,RDF1020604 Conceptual modelling in information systems,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10206 Information Systems,RDF1020605 Database management,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10206 Information Systems,RDF1020606 Decision support systems,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10206 Information Systems,RDF1020607 Spatial-temporal data systems,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10206 Information Systems,RDF1020608 Information systems development methodologies,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10206 Information Systems,RDF1020609 Information retrieval,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10206 Information Systems,RDF1020610 Information privacy,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10206 Information Systems,RDF1020611 Privacy-enhancing technologies,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10206 Information Systems,RDF1020612 Digital forensics,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10206 Information Systems,"RDF1020699 Information systems, n.e.c.",,,
